Group,Level,Sub-Level,Description,Description,Description,Description,Description,Description,Description,Description
,123,,ការដាំដុះដំណាំក្រូច,ការដាំដុះដំណាំក្រូច,ការដាំដុះដំណាំក្រូច,ការដាំដុះដំណាំក្រូច,ការដាំដុះដំណាំក្រូច,ការដាំដុះដំណាំក្រូច,ការដាំដុះដំណាំក្រូច,ការដាំដុះដំណាំក្រូច
,,1231,ការដាំដុះក្រូចថ្លុង,ការដាំដុះក្រូចថ្លុង,ការដាំដុះក្រូចថ្លុង,ការដាំដុះក្រូចថ្លុង,ការដាំដុះក្រូចថ្លុង,ការដាំដុះក្រូចថ្លុង,ការដាំដុះក្រូចថ្លុង,ការដាំដុះក្រូចថ្លុង
,,1232,ការដាំដុះក្រូចឆ្មារ,ការដាំដុះក្រូចឆ្មារ,ការដាំដុះក្រូចឆ្មារ,ការដាំដុះក្រូចឆ្មារ,ការដាំដុះក្រូចឆ្មារ,ការដាំដុះក្រូចឆ្មារ,ការដាំដុះក្រូចឆ្មារ,ការដាំដុះក្រូចឆ្មារ
,,១២៣៣,ការដាំដុះក្រូចឃិ្វច និងក្រូចពោធិ៍សាត់,ការដាំដុះក្រូចឃិ្វច និងក្រូចពោធិ៍សាត់,ការដាំដុះក្រូចឃិ្វច និងក្រូចពោធិ៍សាត់,ការដាំដុះក្រូចឃិ្វច និងក្រូចពោធិ៍សាត់,ការដាំដុះក្រូចឃិ្វច និងក្រូចពោធិ៍សាត់,ការដាំដុះក្រូចឃិ្វច និងក្រូចពោធិ៍សាត់,ការដាំដុះក្រូចឃិ្វច និងក្រូចពោធិ៍សាត់,ការដាំដុះក្រូចឃិ្វច និងក្រូចពោធិ៍សាត់
,,1239,ការដាំដុះដំណាំក្រូចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​,ការដាំដុះដំណាំក្រូចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​,ការដាំដុះដំណាំក្រូចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​,ការដាំដុះដំណាំក្រូចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​,ការដាំដុះដំណាំក្រូចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​,ការដាំដុះដំណាំក្រូចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​,ការដាំដុះដំណាំក្រូចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​,ការដាំដុះដំណាំក្រូចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​
,124,,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់
,,1241,ការដាំដុះត្របែក,ការដាំដុះត្របែក,ការដាំដុះត្របែក,ការដាំដុះត្របែក,ការដាំដុះត្របែក,ការដាំដុះត្របែក,ការដាំដុះត្របែក,ការដាំដុះត្របែក
,,1249,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល,ការដាំដុះដំណាំហូបផ្លែ និងមានគ្រាប់ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល
,0125(2),,ការដាំដុះដំណាំហូបផ្លែនិងគ្រាប់ ប្រភេទដើមឈើនិងចុល្លព្រឹក្សដទៃទៀត,ការដាំដុះដំណាំហូបផ្លែនិងគ្រាប់ ប្រភេទដើមឈើនិងចុល្លព្រឹក្សដទៃទៀត,ការដាំដុះដំណាំហូបផ្លែនិងគ្រាប់ ប្រភេទដើមឈើនិងចុល្លព្រឹក្សដទៃទៀត,ការដាំដុះដំណាំហូបផ្លែនិងគ្រាប់ ប្រភេទដើមឈើនិងចុល្លព្រឹក្សដទៃទៀត,ការដាំដុះដំណាំហូបផ្លែនិងគ្រាប់ ប្រភេទដើមឈើនិងចុល្លព្រឹក្សដទៃទៀត,ការដាំដុះដំណាំហូបផ្លែនិងគ្រាប់ ប្រភេទដើមឈើនិងចុល្លព្រឹក្សដទៃទៀត,ការដាំដុះដំណាំហូបផ្លែនិងគ្រាប់ ប្រភេទដើមឈើនិងចុល្លព្រឹក្សដទៃទៀត,ការដាំដុះដំណាំហូបផ្លែនិងគ្រាប់ ប្រភេទដើមឈើនិងចុល្លព្រឹក្សដទៃទៀត
,,1251,ការដាំដុះដំណាំ​ហូប​ផ្លែ​(៣) ,ការដាំដុះដំណាំ​ហូប​ផ្លែ​(៣) ,ការដាំដុះដំណាំ​ហូប​ផ្លែ​(៣) ,ការដាំដុះដំណាំ​ហូប​ផ្លែ​(៣) ,ការដាំដុះដំណាំ​ហូប​ផ្លែ​(៣) ,ការដាំដុះដំណាំ​ហូប​ផ្លែ​(៣) ,ការដាំដុះដំណាំ​ហូប​ផ្លែ​(៣) ,ការដាំដុះដំណាំ​ហូប​ផ្លែ​(៣) 
,,1252,ការដាំដុះ​ដំណាំហូប​គ្រាប់,ការដាំដុះ​ដំណាំហូប​គ្រាប់,ការដាំដុះ​ដំណាំហូប​គ្រាប់,ការដាំដុះ​ដំណាំហូប​គ្រាប់,ការដាំដុះ​ដំណាំហូប​គ្រាប់,ការដាំដុះ​ដំណាំហូប​គ្រាប់,ការដាំដុះ​ដំណាំហូប​គ្រាប់,ការដាំដុះ​ដំណាំហូប​គ្រាប់
,,1253,ការដាំដុះសា្វយចន្ទី​ និង​គ្រាប់​ផ្លែ​ឈើ​ដែលអាចហូបបានដទៃ​ទៀត,ការដាំដុះសា្វយចន្ទី​ និង​គ្រាប់​ផ្លែ​ឈើ​ដែលអាចហូបបានដទៃ​ទៀត,ការដាំដុះសា្វយចន្ទី​ និង​គ្រាប់​ផ្លែ​ឈើ​ដែលអាចហូបបានដទៃ​ទៀត,ការដាំដុះសា្វយចន្ទី​ និង​គ្រាប់​ផ្លែ​ឈើ​ដែលអាចហូបបានដទៃ​ទៀត,ការដាំដុះសា្វយចន្ទី​ និង​គ្រាប់​ផ្លែ​ឈើ​ដែលអាចហូបបានដទៃ​ទៀត,ការដាំដុះសា្វយចន្ទី​ និង​គ្រាប់​ផ្លែ​ឈើ​ដែលអាចហូបបានដទៃ​ទៀត,ការដាំដុះសា្វយចន្ទី​ និង​គ្រាប់​ផ្លែ​ឈើ​ដែលអាចហូបបានដទៃ​ទៀត,ការដាំដុះសា្វយចន្ទី​ និង​គ្រាប់​ផ្លែ​ឈើ​ដែលអាចហូបបានដទៃ​ទៀត
,,1259,ការដាំដុះ​ដំណាំ​ហូប​ផ្លែ​ ប្រភេទ​​​ដើមឈើ​និង​​​ចុល្ល​ព្រឹក្ស​​​​​​ដទៃទៀត(៤),ការដាំដុះ​ដំណាំ​ហូប​ផ្លែ​ ប្រភេទ​​​ដើមឈើ​និង​​​ចុល្ល​ព្រឹក្ស​​​​​​ដទៃទៀត(៤),ការដាំដុះ​ដំណាំ​ហូប​ផ្លែ​ ប្រភេទ​​​ដើមឈើ​និង​​​ចុល្ល​ព្រឹក្ស​​​​​​ដទៃទៀត(៤),ការដាំដុះ​ដំណាំ​ហូប​ផ្លែ​ ប្រភេទ​​​ដើមឈើ​និង​​​ចុល្ល​ព្រឹក្ស​​​​​​ដទៃទៀត(៤),ការដាំដុះ​ដំណាំ​ហូប​ផ្លែ​ ប្រភេទ​​​ដើមឈើ​និង​​​ចុល្ល​ព្រឹក្ស​​​​​​ដទៃទៀត(៤),ការដាំដុះ​ដំណាំ​ហូប​ផ្លែ​ ប្រភេទ​​​ដើមឈើ​និង​​​ចុល្ល​ព្រឹក្ស​​​​​​ដទៃទៀត(៤),ការដាំដុះ​ដំណាំ​ហូប​ផ្លែ​ ប្រភេទ​​​ដើមឈើ​និង​​​ចុល្ល​ព្រឹក្ស​​​​​​ដទៃទៀត(៤),ការដាំដុះ​ដំណាំ​ហូប​ផ្លែ​ ប្រភេទ​​​ដើមឈើ​និង​​​ចុល្ល​ព្រឹក្ស​​​​​​ដទៃទៀត(៤)
,0126(5),,ការដាំដុះដំណាំផ្លែដែលមានជាតិប្រេង ,ការដាំដុះដំណាំផ្លែដែលមានជាតិប្រេង ,ការដាំដុះដំណាំផ្លែដែលមានជាតិប្រេង ,ការដាំដុះដំណាំផ្លែដែលមានជាតិប្រេង ,ការដាំដុះដំណាំផ្លែដែលមានជាតិប្រេង ,ការដាំដុះដំណាំផ្លែដែលមានជាតិប្រេង ,ការដាំដុះដំណាំផ្លែដែលមានជាតិប្រេង ,ការដាំដុះដំណាំផ្លែដែលមានជាតិប្រេង 
,,1261,ការដាំដុះដំណាំដូងប្រេង (ចម្ការធំ និងចម្ការតូច),ការដាំដុះដំណាំដូងប្រេង (ចម្ការធំ និងចម្ការតូច),ការដាំដុះដំណាំដូងប្រេង (ចម្ការធំ និងចម្ការតូច),ការដាំដុះដំណាំដូងប្រេង (ចម្ការធំ និងចម្ការតូច),ការដាំដុះដំណាំដូងប្រេង (ចម្ការធំ និងចម្ការតូច),ការដាំដុះដំណាំដូងប្រេង (ចម្ការធំ និងចម្ការតូច),ការដាំដុះដំណាំដូងប្រេង (ចម្ការធំ និងចម្ការតូច),ការដាំដុះដំណាំដូងប្រេង (ចម្ការធំ និងចម្ការតូច)
